MEX2: Luis Malagón
MEX3: Johan Vásquez
MEX4: Jorge Sánchez
MEX5: César Montes
MEX6: Jesús Gallardo
MEX7: Israel Reyes
MEX8: Diego Lainez
MEX9: Carlos Rodríguez
MEX10: Edson Álvarez
MEX11: Orbelín Pineda
MEX12: Marcel Ruiz
MEX14: Érick Sánchez
MEX15: Hirving Lozano
MEX16: Santiago Giménez
MEX17: Raúl Jiménez
MEX18: Alexis Vega
MEX19: Roberto Alvarado
MEX20: César Huerta
RSA2: Ronwen Williams
RSA3: Sipho Chaine
RSA4: Aubrey Modiba
RSA5: Samukele Kabini
RSA6: Mbekezeli Mbokazi
RSA7: Khulumani Ndamane
RSA8: Siyabonga Ngezana
RSA9: Khuliso Mudau
RSA10: Nkosinathi Sibisi
RSA11: Teboho Mokoena
RSA12: Thalente Mbatha
RSA14: Bathuisi Aubaas
RSA15: Yaya Sithole
RSA16: Sipho Mbule
RSA17: Lyle Foster
RSA18: Ioraam Rayners
RSA19: Mohau Nkota
RSA20: Oswin Appolis
KOR2: Hyeon-woo Jo
KOR3: Seung-Gyu Kim
KOR4: Min-jae Kim
KOR5: Yu-min Cho
KOR6: Young-woo Seol
KOR7: Han-beom Lee
KOR8: Tae-seok Lee
KOR9: Myung-jae Lee
KOR10: Jae-sung Lee
KOR11: In-beom Hwang
KOR12: Kang-in Lee
KOR14: Seung-ho Paik
KOR15: Jens Castrop
KOR16: Dong-gyeong Lee
KOR17: Gue-sung Cho
KOR18: Heung-min Son
KOR19: Hee-chan Hwang
KOR20: Hyeon-Gyu Oh
CZE2: Matěj Kovář
CZE3: Jindřich Staněk
CZE4: Ladislav Krejčí
CZE5: Vladimír Coufal
CZE6: Jaroslav Zelený
CZE7: Tomáš Holeš
CZE8: David Zima
CZE9: Michal Sadílek
CZE10: Lukáš Provod
CZE11: Lukáš Červ
CZE12: Tomáš Souček
CZE14: Pavel Šulc
CZE15: Matěj Vydra
CZE16: Vasil Kušej
CZE17: Tomáš Chorý
CZE18: Václav Černý
CZE19: Adam Hložek
CZE20: Patrik Schick
CAN2: Dayne St. Clair
CAN3: Alphonso Davies
CAN4: Alistair Johnston
CAN5: Samuel Adekugbe
CAN6: Richie Laryea
CAN7: Derek Cornelius
CAN8: Moïse Bombito
CAN9: Kamal Miller
CAN10: Stephen Eustáquio
CAN11: Ismaël Koné
CAN12: Jonathan Osorio
CAN14: Jacob Shaffelburg
CAN15: Mathieu Choinière
CAN16: Niko Sigur
CAN17: Tajon Buchanan
CAN18: Liam Millar
CAN19: Cyle Larin
CAN20: Jonathan David
BIH2: Nikola Vasilj
BIH3: Amar Dedić
BIH4: Sead Kolašinac
BIH5: Tarik Muharemović
BIH6: Nihad Mujakić
BIH7: Nikola Katić
BIH8: Amir Hadžiahmetović
BIH9: Benjamin Tahirović
BIH10: Armin Gigović
BIH11: Ivan Šunjić
BIH12: Ivan Bašić
BIH14: Dženis Burnić
BIH15: Esmir Bajraktarević
